RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02
394778,"Lawrence, KS",307,170300,175500,173100,172100,165000,159800,164900,166600,167100,161000,154000,145200,143900,159500,170500,170200,160200,155400,152000,155500,151600,154600,148000,148600,151100,166200,169400,165000,161700,169000,171700,166600,162500,166100,170600,178300,173700,174200,168400,169400,160500,155700,147600,150500,157000,166900,152800,145700,144100,157700,159000,157900,161200,157900,157000,153200,153400,156600,159400,167000,169600,174300,171000,168200,164800,170300,174300,170100,170100,165000,161800,160300,160500,162800,160000,160900,165200,164700,164500,165400,165200,166700,160500,157800,152200,153100,156400,160800,163300,164400,169000,172900,164100,167400,169000,169900,167800,169600,177500,175500,175300,178900,174700,169300,165200,166700,169800,172600,173600,183300,188600,190500,181700,178300,180400,181400,174900,174300,182000,192000,198500,208800,211600,211100,194400,188200,183300,194100,199900,204200,200800,203100,202500,206700,203800,211900,210900,216600,217700,216800,210700,210300,209800,222900
394867,"Missoula, MT",308,237900,234300,219300,221200,226000,222000,219500,210200,224200,227300,244800,247500,251300,240300,222400,215700,212100,209100,208400,208300,213300,213200,218400,218100,224700,215400,210700,207300,216100,223600,220900,221200,231600,240100,242400,232800,224000,216700,208800,210100,210900,211600,210700,216500,220900,223200,216600,217800,215500,220000,219300,217300,214600,212900,217200,215900,215100,218800,221200,221200,218500,228300,231500,238200,233300,236700,230700,229500,224900,225800,223800,224800,227000,229200,231100,228500,230900,235800,240700,233300,233100,232200,239700,241700,241700,243600,249900,252500,252600,244600,244200,243600,249900,242300,246300,244600,251900,253100,255100,261600,263500,257400,261800,266700,276600,276900,275800,277200,276400,279300,277500,279400,271300,270700,266900,273200,275000,279100,282900,293100,295900,293400,296100,295500,297100,285100,286600,288600,291800,302100,306200,319400,308300,304500,298600,307400,314800,317800,324300,322000,329500,327300,336800,338000
753915,"Salem, OH",309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80800,84500,90700,94900,100200,101400,95600,89600,87800,92300,90000,80700,76400,80000,85500,80800,77600,78000,95500,100400,99100,88000,85200,86800,85000,84700,85200,88600,92800,87900,87100,86400,92300,90000,89700,88300,89900,86200,84000,78800,89300,97100,104200,93600,86400,82300,90400,96400,100700,100000,89800,88100,85200,93900,96100,98600,98700,92900,96600,99400,103900,103300,101600,108600,104000,106700,108900,108400,100700,98500,100400,99700,89000,84400,78400,80000
394369,"Bay City, MI",310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50900,54700,58500,64200,63700,63900,60500,62200,58600,65600,63000,64800,60400,64700,66700,67200,67400,66400,68500,64700,64700,61900,63000,65200,70300,69500,69600,72200,72600,73400,68400,73000,71100,75700,73700,73000,74600,75100,75200,73000,73000,74900,73900,71900,69100,67700,73700,78600,79000,75000,72400,73900,74500,74200,73700,73100,75300,73400,73000,73000,76100,79000,78500,77400,75600,77900,80300,84900,88800,90600,89100,81900,78600,76400,81900,83500,86600,84600,88200,87900,94100,89300,87000,79100,83200,85500,88900,89000,87300,87300,91800,95300,94400,90400
394788,"Lewiston, ME",311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153400,156200,155500,155100,149200,152000,152600,150400,151200,155600,160900,162100,164600,165400,165000,161100,159000,159600,162800,169100,171600,171000,164400,158500,160900,169600,178200,181100,179500,181800,176800,177800,173500
395039,"Roseburg, OR",312,176700,174400,166200,158000,155800,160000,165300,166100,160400,152200,153100,157500,155000,148800,138600,141500,143500,144600,137900,138700,137400,142600,139700,143600,143600,144400,142100,133700,129600,124800,128400,130700,129600,127600,124700,123000,122200,120800,121400,117000,120100,118600,123600,126400,128200,128000,131600,127600,130400,123500,129300,124200,114800,110600,112700,121800,123400,123000,117800,107400,110200,111400,124500,125900,129900,131000,132200,128600,132400,134100,144800,141500,141500,130300,135300,131600,139600,138400,142200,141100,134900,134100,130500,137600,138300,145300,140500,148200,143400,147300,143900,149500,151400,149700,148300,143200,143300,142600,150600,152700,155700,162100,164200,162300,157500,159100,161600,165500,165800,168300,165800,166800,165600,167000,168000,174700,175300,173000,177300,177600,183000,178200,177100,177400,178700,179300,175000,174800,177500,189700,193500,200000,192800,181200,177300,182000,192900,194900,199000,208400,205800,209000,213500,226400
395095,"Show Low, AZ",313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149600,156500,134500,124000,130300,136500,144300,131400,131300,130400,145700,151100,153100,139700,124300,127200,133100,150000,150800,152000,149800,147600,149900,149700,156500,157000,157300,151600,157100,158400,156000,150800,152100,161500,165400,161600,159300,155200,157600,173200,173200,169300,152500,154700,159300,159700,160100,165900,166300,169300,163800,172100,175100,184200,179100,169100,170000,172700,182500,177200,177200,177800,187500,203100,201700,192300,174500,177800,183600,177700,179900,184800,194300,196400,196400,197600,200900,203400,216000,217800,214300,202000,197300,202200,203300,207400,207300,224500,230800,229600,226400,224600,233900,233600,233600,227100,219100,219500,212800,232500
394396,"Bluefield, WV",314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83800,88400,87300,71300,72000,78400,84800,83500,69700,74700,75100,81000,83200,82100,84600,90900,88900,86700,95300,94700,95800,83200,81600,91500,87300,97500,84400,85500,81700,88800,98200
394794,"Lima, OH",315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81300,79400,79100,85000,93400,95700,86200,85600,84200,96300,99600,100100,89800,83400,79100,81500,79000,83000,85100,86200,87600,88600,88100,88900,91100,96500,101200,100500,102500,95900,93600,87800,91600,93100,98300,96300,90500,88300,88000,86300,85500,85800,93500,95200,94100,119300,119000,124000,109500,111000,109900,95700,90100,93800,100400,105700,104500,101000,111400,128700,132700,116300,100300,104000,108800,107100,100400,109200,106300,110200,
394495,"Cookeville, TN",316,94500,99300,96300,96800,101700,97400,99600,89800,90700,91400,88000,88400,94800,101900,107200,102100,101600,98000,97500,96900,94500,97500,93500,100500,98000,107600,105500,108600,106900,98700,91600,88900,99800,102700,110200,108200,110200,108900,108500,103200,99800,97400,99600,100100,96700,96800,96800,99700,103200,98800,104700,105200,105600,104700,106800,106400,100300,101000,106000,107300,107700,108500,114600,106800,102500,100900,106500,110200,111700,112500,106800,106800,108300,116100,119000,119600,112800,111000,109100,114700,113100,112900,110900,114000,111800,110600,107000,111900,116300,116600,117700,120300,121100,121600,121100,124800,123600,124300,123200,122400,125400,125700,130300,127100,128400,127600,127700,125200,125400,125000,127300,128600,131100,134200,135100,135300,136500,142500,149600,149900,148300,146400,148000,140400,138300,140200,145800,138800,137200,135700,152100,149500,149600,144000,148700,152300,152500,150300,150200,151700,152400,154700,151200,150500
